# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.15787508      	smoothSolver	4.01043370e-04	1.91777790e-09	3	2.38496090e-03	3.09817870e-10	4	5.02684370e-03	4.60224780e-09	4	false	GAMG	4.26846350e-03	3.83721060e-05	4	true
0.15937689      	smoothSolver	3.99742070e-04	1.90906780e-09	3	2.37615830e-03	3.08997380e-10	4	4.99075900e-03	4.55154670e-09	4	false	GAMG	4.41742070e-03	3.81187390e-05	4	true
0.16087981      	smoothSolver	3.98455580e-04	1.90038260e-09	3	2.36774930e-03	3.08223570e-10	4	5.05496250e-03	4.50829140e-09	4	false	GAMG	4.59078860e-03	3.75380470e-05	4	true
0.16238385      	smoothSolver	3.97087230e-04	1.89217790e-09	3	2.35918170e-03	3.07652550e-10	4	5.09784930e-03	4.55637840e-09	4	false	GAMG	4.62068770e-03	3.79186580e-05	4	true
0.16388899      	smoothSolver	3.95850840e-04	1.88444160e-09	3	2.35171690e-03	3.07052590e-10	4	4.93960660e-03	4.22387030e-09	4	false	GAMG	5.13099260e-03	3.93375100e-05	4	true
0.16539522      	smoothSolver	3.94548000e-04	1.87526480e-09	3	2.34256870e-03	3.05982110e-10	4	4.82043580e-03	4.25365320e-09	4	false	GAMG	5.12539070e-03	3.68431320e-05	4	true
0.16690255      	smoothSolver	3.93243530e-04	1.86749080e-09	3	2.33526080e-03	3.05255640e-10	4	4.93027110e-03	4.21000770e-09	4	false	GAMG	4.56759000e-03	3.88437780e-05	4	true
0.16841096      	smoothSolver	3.92025030e-04	1.85983200e-09	3	2.32727810e-03	3.04482730e-10	4	5.21324150e-03	4.43328890e-09	4	false	GAMG	4.68094500e-03	3.64229670e-05	4	true
0.16992045      	smoothSolver	3.90718550e-04	1.85147650e-09	3	2.31860930e-03	3.03578360e-10	4	5.04632910e-03	4.78988170e-09	4	false	GAMG	4.53708940e-03	3.47300870e-05	4	true
0.17143102      	smoothSolver	3.89370070e-04	1.84274150e-09	3	2.31005600e-03	3.02644240e-10	4	5.16438440e-03	4.39610360e-09	4	false	GAMG	5.07122870e-03	3.87210290e-05	4	true
0.17294265      	smoothSolver	3.87999620e-04	1.83512230e-09	3	2.30081270e-03	3.02077190e-10	4	4.84128810e-03	4.00474680e-09	4	false	GAMG	4.29457400e-03	3.56199880e-05	4	true
0.17445535      	smoothSolver	3.86764750e-04	1.82740990e-09	3	2.29293330e-03	3.01301460e-10	4	4.71339830e-03	3.94584080e-09	4	false	GAMG	4.44922570e-03	3.51502500e-05	4	true
0.1759691       	smoothSolver	3.85417800e-04	1.81895580e-09	3	2.28411670e-03	3.00361630e-10	4	4.51094470e-03	3.93752830e-09	4	false	GAMG	4.57244420e-03	3.39855280e-05	4	true
0.17748391      	smoothSolver	3.84130610e-04	1.81164530e-09	3	2.27583570e-03	2.99814420e-10	4	4.95112780e-03	4.05000420e-09	4	false	GAMG	4.37337570e-03	3.75690950e-05	4	true
0.17899977      	smoothSolver	3.82940810e-04	1.80427580e-09	3	2.26706400e-03	2.99086490e-10	4	4.59952140e-03	3.89343430e-09	4	false	GAMG	4.22804070e-03	3.42479070e-05	4	true
