signal,phase_rad,phase_deg,mean_value,scaled_value
Cd,5.301437602932776,303.75,3.3601736077358497,-0.48879268143664345
Cd,5.43233729683235,311.25,3.3613383766666662,0.1775818900194105
Cd,5.563236990731925,318.74999999999994,3.3627394877142858,0.979169869589999
Cd,5.6941366846315,326.25,3.3626222007142856,0.912068943136144
Cd,5.825036378531074,333.74999999999994,3.3617619232258056,0.41989660959242614
Cd,5.955936072430649,341.25,3.3615185934482756,0.2806854991875969
Cd,6.086835766330223,348.74999999999994,3.3611490593333335,0.06927177499912483
Cd,6.2177354602297985,356.25,3.3598423851612904,-0.678288035698715
Cl,0.06544984694978735,3.7499999999999996,2.52642024,0.21198774018855712
Cl,0.19634954084936207,11.25,2.529804313870968,0.27454080770316425
Cl,0.32724923474893675,18.749999999999996,2.487593941379311,-0.5056987440807206
Cl,0.4581489286485115,26.25,2.5181828070967742,0.05972253671201295
Cl,0.5890486225480862,33.75,2.5045835624137935,-0.1916533206828838
Cl,0.7199483164476609,41.25,2.495491525666666,-0.3597154878145166
Cl,0.8508480103472356,48.74999999999999,2.5047219634285716,-0.1890950408250554
Cl,0.9817477042468103,56.25,2.47207320125,-0.7925925715218575
Cl,1.1126473981463851,63.75000000000001,2.5177652770588237,0.05200468371909702
Cl,1.2435470920459597,71.25,2.5166105614285716,0.030660290087797516
Cl,1.3744467859455343,78.74999999999999,2.506335907826087,-0.15926201214068192
Cl,1.5053464798451093,86.25,2.525528348,0.1955015219146625
Cl,1.6362461737446838,93.75,2.5461058392,0.5758670947107403
Cl,1.7671458676442584,101.24999999999999,2.486144880000001,-0.5324839851094211
Cl,1.8980455615438332,108.74999999999999,2.4574785106,-1.0623687952079024
Cl,2.028945255443408,116.25,2.517975722173913,0.055894666028654186
Cl,2.1598449493429825,123.74999999999999,2.53650400368421,0.3983815290331751
Cl,2.290744643242557,131.24999999999997,2.5974125700000004,1.5242486957212769
Cl,2.421644337142132,138.75,2.5786134793333333,1.1767560485383106
Cl,2.5525440310417067,146.25,2.6009233748387093,1.5891443275780288
Cl,2.6834437249412817,153.75,2.5685317870967737,0.9904005494620791
Cl,2.8143434188408563,161.25,2.536894266451613,0.4055953589224165
Cl,2.945243112740431,168.75,2.532691407037037,0.32790741275498025
Cl,3.0761428066400054,176.24999999999997,2.510643080645161,-0.07964588009933894
Cl,3.2070425005395804,183.75,2.4605773200000005,-1.0050887117924363
Cl,3.337942194439155,191.25,2.458535322,-1.042834116777407
Cl,3.4688418883387295,198.74999999999997,2.445477989655173,-1.2841929708892672
Cl,3.5997415822383045,206.25,2.4399503075999998,-1.3863696614641852
Cl,3.730641276137879,213.75,2.4266875309374996,-1.6315260604181219
Cl,3.8615409700374537,221.24999999999997,2.439748635,-1.3900974878192367
Cl,3.9924406639370282,228.74999999999997,2.421955926153846,-1.7189876244293356
Cl,4.123340357836604,236.25,2.421519737037037,-1.727050382014792
Cl,4.254240051736177,243.74999999999994,2.425988351724138,-1.644450070414897
Cl,4.385139745635753,251.25,2.447149869130435,-1.2532890386230162
Cl,4.5160394395353265,258.74999999999994,2.4600496480769234,-1.0148424874747526
Cl,4.646939133434902,266.25,2.5497432921739134,0.6431037597878393
Cl,4.777838827334477,273.75,2.5520128462962965,0.6850554362755916
Cl,4.908738521234051,281.24999999999994,2.5930795685185184,1.4441551325939053
Cl,5.0396382151336265,288.75,2.6143803539999997,1.837890471461161
Cl,5.1705379090332,296.24999999999994,2.6154121120689657,1.8569620504537083
Cl,5.301437602932776,303.75,2.4937085656603775,-0.3926726932130286
Cl,5.43233729683235,311.25,2.4883338366666665,-0.4920221159607609
Cl,5.563236990731925,318.74999999999994,2.5677841462857147,0.9765807488566411
Cl,5.6941366846315,326.25,2.575041074642857,1.1107217714174713
Cl,5.825036378531074,333.74999999999994,2.5692792338709682,1.0042167633842654
Cl,5.955936072430649,341.25,2.5845465634482756,1.2864264119413737
Cl,6.086835766330223,348.74999999999994,2.5593804896666668,0.8212429755383022
Cl,6.2177354602297985,356.25,2.5323161238709684,0.320970473988485
Cm,0.06544984694978735,3.7499999999999996,0.008193037330714288,0.36044963024342647
Cm,0.19634954084936207,11.25,0.008262359241290323,0.5006689942360764
Cm,0.32724923474893675,18.749999999999996,0.008283261856896552,0.5429492984246554
Cm,0.4581489286485115,26.25,0.008133249087096775,0.2395142805881405
Cm,0.5890486225480862,33.75,0.008139796364827586,0.2527576420545076
