theta_rad,theta_deg,z_m,Nu_mean,Nu_rms,A1,phase1_rad,A2,asym_mean_minus_opposite
-1.3417218624706408,-76.875,-0.0054,1.729439383552889,0.019639986346107488,0.005768927130510634,-1.779120723465275,0.0023710952510263778,0.009199358962623583
-1.2762720155208536,-73.125,-0.0054,1.5478019872309263,0.020448425583744538,0.005551208402332135,-1.8295529531375871,0.00271457610369937,0.02278922347699064
-1.2108221685710663,-69.37500000000001,-0.0054,1.332991799272209,0.02249459918004497,0.005414463768629872,-1.908467058798224,0.003483675042194194,0.04366957365030366
-1.145372321621279,-65.62500000000001,-0.0054,1.160533368220107,0.022150687883371482,0.005072528850100584,-1.9427563420474492,0.003624670598397366,0.048177547070027193
-1.0799224746714915,-61.87500000000001,-0.0054,0.9352424089027329,0.02014183769638091,0.004453151943883468,-1.9616194970266743,0.0033787102867715107,0.04778627727745843
-1.0144726277217042,-58.12500000000001,-0.0054,0.8419107705880982,0.018655204595534727,0.004096889440234169,-1.9574430686233115,0.003088223154718793,0.046522234909274096
-0.9490227807719169,-54.375000000000014,-0.0054,0.7066701364507788,0.015789246854181437,0.0034230557124342816,-1.9261763020560265,0.0024230618008427313,0.04489292863412109
-0.8835729338221296,-50.62500000000002,-0.0054,0.5676371010347089,0.01327635819400395,0.002334009603980782,-1.7894650560926475,0.001548272746811178,0.04770637033872993
-0.8181230868723421,-46.87500000000001,-0.0054,0.4921480457797006,0.014377919485454808,0.0013931341851700486,-1.5129390733797208,0.001721099751958765,0.052388017371798434
-0.7526732399225546,-43.125,-0.0054,0.4406334742181263,0.017919834148681656,0.0006754040505401083,-0.4454329598822361,0.0025874927009642734,0.05924153106806135
-0.6872233929727674,-39.37500000000001,-0.0054,0.41248224400779343,0.02517057980699241,0.0019674957867824995,0.8889750418421614,0.004120921433246626,0.07382197307616634
-0.6217735460229801,-35.62500000000001,-0.0054,0.4015198551422588,0.03253487075512989,0.004082793311618306,1.1474469663622548,0.005604611914787376,0.08763766395088618
-0.5563236990731928,-31.875000000000014,-0.0054,0.41226823733620166,0.038877291657436905,0.00616855502842577,1.2378719793719744,0.006818985491480235,0.09891275673139344
-0.4908738521234055,-28.125000000000018,-0.0054,0.42491378617792375,0.04384972585605934,0.008531932172731441,1.2958425408842305,0.007690604828471582,0.10474587340245972
-0.425424005173618,-24.37500000000001,-0.0054,0.4410653029345219,0.04766456947004169,0.010824337639187723,1.3255681842970681,0.00820849428508301,0.10588972102927302
-0.3599741582238305,-20.625000000000004,-0.0054,0.46237668187044895,0.04908316101601857,0.012824003052242823,1.3263776303023183,0.0081559050958287,0.10051282232354697
-0.2945243112740432,-16.875000000000007,-0.0054,0.47648594093187746,0.047925063955992,0.013604694345839193,1.308640892864182,0.007755500609361286,0.09340951500370709
-0.22907446432425593,-13.12500000000001,-0.0054,0.4927881959017605,0.04389628804548657,0.013785605307278315,1.2724367624637551,0.006406780323779111,0.07594417059133418
-0.16362461737446865,-9.375000000000014,-0.0054,0.4974673708693582,0.039589555060814074,0.013258335495040793,1.2301092956997548,0.0049169233519633995,0.05771937723959564
-0.09817477042468137,-5.625000000000019,-0.0054,0.49785892275796406,0.03441292792603837,0.012150717727333251,1.161571334695559,0.0033074887246117694,0.03730810716452143
-0.03272492347489386,-1.8750000000000107,-0.0054,0.4913497600304598,0.028078657119065632,0.010345033948803263,1.0276117821101944,0.0012792319072000978,0.012642962574948402
0.03272492347489364,1.8749999999999978,-0.0054,0.4787067974555114,0.024369465118844708,0.009027702061352012,0.8899555127605295,0.0007613975332345893,-0.012642962574948402
0.09817477042468092,5.624999999999994,-0.0054,0.46055081559344263,0.021756804629672954,0.007923827498409343,0.7252474686768555,0.0017130542116528514,-0.03730810716452143
0.1636246173744682,9.37499999999999,-0.0054,0.4397479936297626,0.02061604405224016,0.007121578091170053,0.556870492283863,0.002739424374221267,-0.05771937723959564
0.2290744643242555,13.124999999999986,-0.0054,0.4168440253104263,0.020014710454342843,0.006520689541593765,0.4200882753985541,0.0034841703957055074,-0.07594417059133418
0.29452431127404277,16.874999999999982,-0.0054,0.38307642592817037,0.019258711402080835,0.005808721790530772,0.2488874621900604,0.004105099675356782,-0.09340951500370709
0.35997415822383005,20.624999999999975,-0.0054,0.361863859546902,0.018649960989700374,0.005342251156961974,0.1540511139714942,0.0043550278298073244,-0.10051282232354697
0.42542400517361756,24.374999999999986,-0.0054,0.3351755819052489,0.01718012901888296,0.0045820724080111,0.08992679763204064,0.004456642058526244,-0.10588972102927302
0.49087385212340506,28.124999999999993,-0.0054,0.320167912775464,0.01572588099002085,0.00384643700318316,0.07953392970683817,0.004395915060864391,-0.10474587340245972
0.5563236990731923,31.87499999999999,-0.0054,0.3133554806048082,0.014401404563848556,0.0031164928699833855,0.08323061858169938,0.004249430289003978,-0.09891275673139344
0.6217735460229796,35.624999999999986,-0.0054,0.3138821911913726,0.0129089378567903,0.0024599135193532134,0.09207160787542246,0.003918684787407535,-0.08763766395088618
0.6872233929727669,39.37499999999998,-0.0054,0.3386602709316271,0.011360064745586356,0.001829126215382614,0.07791466679602777,0.003506740120907362,-0.07382197307616634
0.7526732399225542,43.12499999999998,-0.0054,0.38139194315006497,0.010162023414906822,0.001426327272383802,-0.040562509552248716,0.003126183562267257,-0.05924153106806135
0.8181230868723417,46.874999999999986,-0.0054,0.4397600284079022,0.01057463038387481,0.001385724959795541,-0.20409001112521016,0.003190311296838363,-0.052388017371798434
