x_m,x_over_Dh,T_bulk_K,Tw_minus_Tbulk_K,wall_sngrad_K_per_m,wall_face_samples,Nu_local
0.986,41.08333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.99,41.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.994,41.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.998,41.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.002,41.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.006,41.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.01,42.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.014,42.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.018,42.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.022,42.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.026,42.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.03,42.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.034,43.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.038,43.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.042,43.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.046,43.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.05,43.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.054,43.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.058,44.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.062,44.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.066,44.41666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.07,44.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.074,44.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.078,44.91666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.082,45.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.086,45.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.09,45.41666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.094,45.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.098,45.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.102,45.91666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.106,46.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.11,46.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.114,46.41666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.118,46.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.122,46.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1260000000000001,46.91666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1300000000000001,47.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1340000000000001,47.25000000000001,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1380000000000001,47.41666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1420000000000001,47.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1460000000000001,47.75000000000001,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.1500000000000001,47.91666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.154,48.08333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.158,48.24999999999999,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.162,48.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
1.166,48.58333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
