phase_bin,phase_deg,x_m,x_mm,Nu_fin_z_min,Nu_fin_z_max
2,56.25,0.005716792499999998,5.716792499999998,0.304796081837894,0.3048581672313049
2,56.25,0.006062937499999997,6.062937499999997,2.209609412674306,2.2077728816013633
2,56.25,0.006409082499999998,6.409082499999998,2.346447282841282,2.3488232175658537
2,56.25,0.006755227499999999,6.755227499999998,3.12602420872936,3.124088739789974
2,56.25,0.007101372499999998,7.101372499999998,nan,nan
2,56.25,0.007447517499999999,7.447517499999999,2.8314877865610564,2.8268392974694714
2,56.25,0.0077936624999999995,7.7936625,3.2291041512574736,3.2257719139794685
2,56.25,0.008139807499999999,8.139807499999998,nan,nan
2,56.25,0.008485952499999998,8.485952499999998,2.935491771208413,2.9279523268762486
2,56.25,0.008832097499999997,8.832097499999996,3.29415133085994,3.2844235953848404
2,56.25,0.009178242499999998,9.178242499999998,nan,nan
2,56.25,0.009524387499999998,9.524387499999998,3.0078802141859113,2.9876094977459595
2,56.25,0.009870532499999998,9.870532499999998,3.3411355885586915,3.314266404598127
2,56.25,0.010216677499999998,10.216677499999998,3.088886943221718,3.039388622306906
2,56.25,0.0105628225,10.5628225,nan,nan
2,56.25,0.010908967499999998,10.908967499999997,3.4222363137168847,3.3605030012967765
2,56.25,0.011255112499999997,11.255112499999997,3.2369220671901076,3.133072445884217
2,56.25,0.011601257499999997,11.601257499999997,nan,nan
2,56.25,0.011947402499999997,11.947402499999997,3.61433099877514,3.4866166362783995
2,56.25,0.012293547499999998,12.293547499999999,3.5765380476023796,3.3681368669979426
2,56.25,0.012639692499999997,12.639692499999997,nan,nan
2,56.25,0.012985837499999998,12.985837499999999,4.279781810467697,3.991015123675569
2,56.25,0.013331982499999999,13.331982499999999,5.4376464896159815,4.8493609003900175
2,56.25,0.013678127499999998,13.678127499999999,3.209284658541739,2.9369890821651574
3,78.75,-0.0136673275,-13.667327499999999,13.01432985838759,13.014626239691424
3,78.75,-0.0133211825,-13.3211825,nan,nan
3,78.75,-0.012975037499999998,-12.975037499999997,21.812309403741317,21.813026272357423
3,78.75,-0.012628892499999999,-12.6288925,nan,nan
3,78.75,-0.0122827475,-12.2827475,nan,nan
3,78.75,-0.0119366025,-11.936602500000001,15.475037809925995,15.475429800597366
3,78.75,-0.011590457499999998,-11.590457499999998,nan,nan
3,78.75,-0.011244312499999999,-11.2443125,nan,nan
3,78.75,-0.0108981675,-10.8981675,12.06826025374615,12.067900495026622
3,78.75,-0.010552022500000001,-10.552022500000001,nan,nan
3,78.75,-0.010205877499999998,-10.205877499999998,nan,nan
3,78.75,-0.0098597325,-9.8597325,10.28435249179176,10.283607116570186
3,78.75,-0.0095135875,-9.5135875,nan,nan
3,78.75,-0.009167442500000001,-9.167442500000002,nan,nan
3,78.75,-0.008821297499999999,-8.821297499999998,9.243529818536642,9.242809445207827
3,78.75,-0.0084751525,-8.4751525,nan,nan
3,78.75,-0.0081290075,-8.1290075,nan,nan
3,78.75,-0.0077828625,-7.7828625,8.65567521062749,8.655214915531996
3,78.75,-0.0074367175,-7.4367175,nan,nan
3,78.75,-0.0070905725,-7.0905724999999995,nan,nan
3,78.75,-0.0067444275000000005,-6.7444275000000005,8.213074752052819,8.212924848771518
3,78.75,-0.0063982825,-6.3982825,6.163597978075873,6.163361324615161
3,78.75,-0.0060521375,-6.0521375,5.234544001141575,5.235345814637269
3,78.75,-0.0057059925,-5.7059925,2.8665114620105787,2.8663642677367163
3,78.75,-0.005359847500000001,-5.359847500000001,4.382863865471456,4.382653402804654
3,78.75,-0.005013702500000001,-5.013702500000001,5.879714686971462,5.88768174395787
3,78.75,-0.0046675575,-4.6675575,2.485547291644328,2.4853804637280916
3,78.75,-0.0043214125,-4.3214125,4.81936412333375,4.813579657818166
3,78.75,-0.003975267500000001,-3.9752675000000006,5.813181377213116,5.844130028954155
3,78.75,-0.003629122500000001,-3.6291225000000007,3.008121162722743,3.00940385389825
3,78.75,-0.0032829775,-3.2829775,4.278052178614947,4.288232479317178
